Value;Давление в водяном охлаждении
0.0;4.600043914268326
1.0;3.7355430675375576
2.0;3.6840682226113897
3.0;3.7846969783681916
4.0;3.5920649371665294
5.0;2.5428127057716865
6.0;4.606882550448823
7.0;4.506866223949563
8.0;3.8548137807344567
9.0;4.988714342618653
10.0;4.69152039055301
11.0;3.542146248349227
12.0;3.9149439147404514
13.0;3.853045010888642
14.0;3.900866318555804
15.0;3.9379797750503287
16.0;2.5019856660648054
17.0;2.6402882843750395
18.0;3.961769871647771
19.0;3.5192313159739226
20.0;2.6516459720883496
21.0;4.629696272514184
22.0;3.9878576371069827
23.0;3.6953240783240764
24.0;3.725974298247853
25.0;3.702682835365193
26.0;3.9759043439864534
27.0;3.7899872781270596
28.0;3.7193156397039173
29.0;3.747180080647144
30.0;4.687111701368712
31.0;2.511606238409573
32.0;2.5553048710489743
33.0;3.7396692949055983
34.0;4.88094149585895
35.0;3.9850655124365217
36.0;3.9048129737931876
37.0;3.653927680635272
38.0;3.795738667372536
39.0;3.8963027296023633
40.0;2.689392960564967
41.0;3.7663889874139853
42.0;2.7531919646083827
43.0;3.6656694832048005
44.0;3.619576788854898
45.0;3.832491233547018
46.0;3.8329917860868314
47.0;4.631466797539964
48.0;2.6815384515429495
49.0;3.5511885723456578
50.0;3.5954552669163977
51.0;3.9004608244581203
52.0;3.5563483965044913
53.0;3.8407358040121338
54.0;3.547577806344311
55.0;4.8277286283554535
56.0;3.8037317548027927
57.0;3.792396782289253
58.0;2.8438560868345815
59.0;3.8434233368682245
60.0;2.5111450396772432
61.0;3.701075364751321
62.0;3.7965749432883635
63.0;3.8290733725600563
64.0;3.552870964067193
65.0;3.7635130595959643
66.0;3.847597175905203
67.0;3.7789171549737635
68.0;3.976338239699521
69.0;2.9152005913438694
70.0;3.670837053108329
71.0;2.661903701057217
72.0;3.9495108641757177
73.0;3.548444911827083
74.0;2.9379353866809734
75.0;3.8979345719261187
76.0;3.8146903535963586
77.0;3.804694027304818
78.0;3.844678558689579
79.0;3.8742979730316374
80.0;3.933909641458851
81.0;3.5671965361456848
82.0;2.5161203362846924
83.0;3.6569661983573476
84.0;3.812606300449401
85.0;3.7049086627821386
86.0;3.7085801652651726
87.0;3.6955177697935473
88.0;2.8072810940208637
89.0;3.8728049087332015
90.0;3.905298729506939
91.0;3.8136364012468587
92.0;3.8692182132050332
93.0;3.6544739162178335
94.0;4.7641908437000655
95.0;3.929961046159183
96.0;3.7426199449879283
97.0;3.667148710507608
98.0;3.913424656851821
99.0;3.95364628590992
100.0;4.593788464340415
101.0;3.913869665158241
102.0;4.687432406266095
103.0;4.742441215620486
104.0;3.613775507803847
105.0;3.570850479871113
106.0;3.6378938469870357
107.0;3.7932229490035203
108.0;3.5362407045625712
109.0;3.6823246293802816
110.0;2.743089772257999
111.0;3.9966704569488294
112.0;3.989800746513416
113.0;3.537876804919992
114.0;4.996152197555883
115.0;3.9628732935324917
116.0;2.68240828467677
117.0;3.7830184167211485
118.0;3.932490343341261
119.0;3.7672693213981723
120.0;3.5816545263577315
121.0;3.9244166883964087
122.0;2.883444091312127
123.0;2.862798907085409
124.0;3.9797037451468054
125.0;3.6162552049489305
126.0;3.786169180511478
127.0;3.5382086235296004
128.0;3.9906005943463976
129.0;3.9335851384097564
130.0;3.6355692071227583
131.0;3.8781050254835003
132.0;3.595781280759423
133.0;3.80305478269184
134.0;3.520655585369567
135.0;3.509110303120495
136.0;3.7443408314560642
137.0;3.610698295784874
138.0;3.8858350292621253
139.0;4.541483331150819
140.0;4.884758413264284
141.0;3.6412679171058997
142.0;3.8943650323065886
143.0;3.8110013425925127
144.0;2.6306757706870627
145.0;3.585873564012703
146.0;3.5541947118053017
147.0;3.900057751103072
148.0;3.9846723603449488
149.0;3.8070817703700572
150.0;3.635546748924332
151.0;3.522552073936871
152.0;3.5591736086830466
153.0;3.873655788837053
154.0;2.891815460431879
155.0;3.6024372921078065
156.0;3.63816029515214
157.0;3.8097635931048837
158.0;3.95414410930615
159.0;3.8134274347208454
160.0;4.858425658177744
161.0;3.737519493020188
162.0;3.721444332619743
163.0;2.953318355139179
164.0;3.8729042024185016
165.0;2.942689517639413
166.0;3.6709252241077563
167.0;2.86741824092919
168.0;3.9497623643210336
169.0;3.7123932459361235
170.0;3.5023699954784813
171.0;3.6581577067751647
172.0;3.7042084961037443
173.0;3.7004648633836275
174.0;3.967836142851316
175.0;4.599467706480366
176.0;4.91219992013891
177.0;3.8071307923073823
178.0;3.8923448797027094
179.0;2.7154703987472217
180.0;3.921267276561483
181.0;3.584585138352698
182.0;3.9586742656704508
183.0;3.9427646012492708
184.0;3.5379338351420575
185.0;3.8787017036127396
186.0;2.740716174887435
187.0;3.5155610881949007
188.0;2.9233628825179543
189.0;4.714064195628248
190.0;3.931911940643449
191.0;2.986439479883475
192.0;4.697672701356254
193.0;3.712678484103759
194.0;4.689266849552679
195.0;3.8871832198824916
196.0;3.9724706816278395
197.0;3.5624072113718355
198.0;3.6096536081213957
199.0;3.786788517327868
200.0;3.7204207982942656
201.0;3.825070354034022
202.0;2.937143708013304
203.0;3.876065168411314
204.0;3.901318946994948
205.0;3.9594275613897736
206.0;2.884157117361774
207.0;3.6466384412429176
208.0;3.869038791437407
209.0;3.982770625952546
210.0;3.928586683257572
211.0;3.7733091874966704
212.0;2.500497214663967
213.0;3.5394430085949615
214.0;4.771389756067043
215.0;3.7088213528624983
216.0;4.722478478193468
217.0;3.800000308301077
218.0;3.837046603517298
219.0;3.9263732033707344
220.0;3.7507015057782116
221.0;3.8613095469722865
222.0;3.5121632904856557
223.0;2.8680391050333083
224.0;3.5655952990324753
225.0;3.759279943027942
226.0;3.569585178874654
227.0;3.774083823518979
228.0;2.6809723825912473
229.0;3.9980486372742634
230.0;3.7250428786873457
231.0;3.8062461064956388
232.0;4.720185497272528
233.0;3.63843221705959
234.0;3.635330334812374
235.0;3.7892915049273603
236.0;2.852241401532033
237.0;3.5095214992564556
238.0;3.788199785668495
239.0;3.7036454877844336
240.0;3.540042798280947
241.0;4.882322844604822
242.0;3.532339907704604
243.0;3.761097684900145
244.0;2.651836520087658
245.0;3.9478467671726567
246.0;3.744197596980271
247.0;3.6386674680341327
248.0;3.619977226026784
249.0;4.721000147260561
250.0;3.693962698232334
251.0;3.681607564464143
252.0;3.70747390809859
253.0;3.6725404540412248
254.0;3.9811572939002886
255.0;3.6391764713157513
256.0;3.559012025324615
257.0;2.7097799221475856
258.0;3.5680502449123725
259.0;3.5372293786373
260.0;3.602838889144254
261.0;3.6845626975326184
262.0;3.8647441572228685
263.0;2.7663195315462
264.0;2.552464434918159
265.0;3.876225501393762
266.0;3.8765525097163285
267.0;3.543238799650899
268.0;4.5639974614958625
269.0;3.991571609553792
270.0;3.583382240145103
271.0;3.9660493120056666
272.0;3.9594338388415538
273.0;2.955226351417111
274.0;4.788210626795177
275.0;3.6870920150821203
276.0;4.628295471003713
277.0;3.8819063796989175
278.0;3.8290752309077907
279.0;3.541459032764783
280.0;3.852064586662139
281.0;3.8863969485863565
282.0;4.757770367926254
283.0;3.8314974681734397
284.0;2.613920876281648
285.0;3.512846625884151
286.0;3.8748934471404497
287.0;3.8449048709177505
288.0;3.7510775507597387
289.0;2.92609617387357
290.0;3.925110215778376
291.0;3.8600773478989496
292.0;3.7251894439289743
293.0;3.5195407425667353
294.0;3.988864246106635
295.0;2.9075124643759582
296.0;3.7349281648729877
297.0;4.51712538345237
298.0;3.6998133575821437
299.0;3.7429764660197473
300.0;3.6471847739637226
301.0;4.9972552977305105
302.0;3.9166044205958874
303.0;2.604048139027262
304.0;3.8595164138111757
305.0;3.7580859998519127
306.0;4.7824890262889355
307.0;3.6609385917571
308.0;3.841460869153592
309.0;2.5331998044347803
310.0;3.914031749166953
311.0;3.5317642544273498
312.0;2.8534424031380548
313.0;2.68768570747642
314.0;3.902225671076887
315.0;3.8031159248491724
316.0;3.7235340746499497
317.0;3.8795782192876347
318.0;3.5576924469120597
319.0;3.97675798268064
320.0;3.548104941507833
321.0;3.9133226647592667
322.0;3.650571900090373
323.0;3.5473884353493323
324.0;4.84624192845176
325.0;3.5630363130423914
326.0;3.80619049107141
327.0;3.6419531001670538
328.0;3.6660803933847417
329.0;4.6237808188758756
330.0;3.6736555387297325
331.0;3.7394521249807555
332.0;3.547790977385331
333.0;4.86048368664179
334.0;3.737981167201583
335.0;3.571990671115784
336.0;3.8124317952131435
337.0;2.8802301932117085
338.0;3.8574025190342875
339.0;3.897106650385871
340.0;3.9691593536749177
341.0;2.901222842786221
342.0;3.5017403695884597
343.0;3.543717871078179
344.0;3.665958632967926
345.0;4.618130649963065
346.0;3.54072179104992
347.0;3.9540364602770888
348.0;4.870298715691607
349.0;3.531878369319893
350.0;3.567156158324863
351.0;4.881612251432758
352.0;3.9381508867670254
353.0;3.675641586470348
354.0;3.829663153325167
355.0;3.762605538439318
356.0;3.6855602436394332
357.0;3.7137566052090762
358.0;3.983180165399387
359.0;3.7625231335939704
360.0;3.5697990371841697
361.0;3.6874657048249064
362.0;2.8364320071431863
363.0;3.916290084062669
364.0;3.6714895372399794
365.0;3.759268675958579
366.0;4.544172348806267
367.0;3.9989735098878176
368.0;3.9287761218407673
369.0;4.65983557300046
370.0;3.773470613565583
371.0;3.7485094124290352
372.0;3.9685219003121626
373.0;3.911269116646851
374.0;4.765492658771212
375.0;3.5317581654828163
376.0;3.7451889092701367
377.0;3.8032723254256267
378.0;4.950949594142989
379.0;3.929471502659937
380.0;2.5694645577186273
381.0;3.916970512579473
382.0;3.541692488679667
383.0;3.5957480218016507
384.0;2.7075613065102107
385.0;4.8216771039079
386.0;3.51398316597891
387.0;3.598301463180215
388.0;4.952209039259467
389.0;2.787442462807798
390.0;3.768030738891421
391.0;3.976701265593935
392.0;3.7834192679942764
393.0;3.6244463642760625
394.0;3.938470061238611
395.0;3.988973962841777
396.0;4.672443242637764
397.0;3.970693733264748
398.0;3.7962738651297725
399.0;3.9190312250616195
400.0;3.6045255109401864
401.0;3.6678548480120763
402.0;3.726466394202871
403.0;3.6167703545956784
404.0;3.699631555337019
405.0;3.9899528978242307
406.0;2.6565411369584244
407.0;3.6187781533788312
