Value;Давление масла
0.0;2.801058382112665
1.0;3.959448806865073
2.0;3.294412009442362
3.0;3.9466463067314335
4.0;2.6288434181349967
5.0;2.0906765560665406
6.0;3.053886617095885
7.0;2.62596548163623
8.0;2.317473247931274
9.0;4.2337012969712156
10.0;3.751497430544979
11.0;3.1462782640137945
12.0;3.395276288693947
13.0;3.5264628862424887
14.0;2.541821159910823
15.0;3.9301584676328547
16.0;4.373839836318967
17.0;1.862523082549501
18.0;3.032416292074627
19.0;3.47711717338475
20.0;2.342044857059758
21.0;2.5660991737953944
22.0;1.7568425521836097
23.0;1.8661342444938578
24.0;2.506145674696403
25.0;2.8608838123207616
26.0;4.088915573362481
27.0;2.654870118691982
28.0;4.0988140628158884
29.0;3.3613656766033935
30.0;2.5251586516294764
31.0;3.317320806043167
32.0;3.961020614443378
33.0;2.3277760651733335
34.0;4.317274116752058
35.0;2.0928354189367804
36.0;3.2186891162400206
37.0;3.1556219478039385
38.0;2.7524531612265366
39.0;2.7261259668686595
40.0;2.5092592179084483
41.0;2.5249848498341114
42.0;2.0138223618408793
43.0;3.0801256012041667
44.0;3.1944871403860273
45.0;2.772762759865725
46.0;2.7957603466821705
47.0;2.4586506058992015
48.0;3.4046568802432633
49.0;4.257751858779617
50.0;2.888009618528472
51.0;3.319274651831185
52.0;3.3454371483366683
53.0;4.289521700470191
54.0;4.328906356393132
55.0;2.6378195791643124
56.0;2.5384640881967324
57.0;2.9250544394201508
58.0;2.755251384308594
59.0;3.1388788031471644
60.0;3.363437836254851
61.0;2.297393411205216
62.0;3.312242521804538
63.0;2.993936116966018
64.0;2.7932209904291394
65.0;3.118222341940812
66.0;2.988957682788753
67.0;1.6342652176699235
68.0;2.8975310386540665
69.0;2.9650327280461215
70.0;3.580965922341801
71.0;2.688077047914557
72.0;2.567937844179514
73.0;3.061504806281214
74.0;3.1098996637227163
75.0;2.5208834832778866
76.0;3.3013110941773545
77.0;3.149712947676809
78.0;2.6519260648295195
79.0;3.4346423948517937
80.0;2.7329974748836428
81.0;2.898097739907516
82.0;3.480185100995248
83.0;4.296466738172956
84.0;3.224154833794606
85.0;2.646017198656107
86.0;2.88336051557761
87.0;3.2484788249490713
88.0;3.238428291227191
89.0;2.6809680738351256
90.0;1.6416464997583997
91.0;2.537939809472525
92.0;3.4992983901304826
93.0;2.622237190369616
94.0;2.264973907173256
95.0;3.4464766769266055
96.0;2.795752429713614
97.0;1.945878343039392
98.0;3.116377330645229
99.0;3.2829827667218563
100.0;2.605892820657495
101.0;2.831404847056316
102.0;3.4733156019394027
103.0;3.0763642111115033
104.0;2.8588238153799774
105.0;2.8789992433287406
106.0;2.585947806270256
107.0;2.5133616979543807
108.0;2.6946883465475713
109.0;2.5692484826770947
110.0;2.568120090494726
111.0;2.717469057486417
112.0;3.4369447561352806
113.0;2.5771741385561775
114.0;3.0685890284299395
115.0;2.7163010536257306
116.0;3.0547587401311445
117.0;2.5490594525405066
118.0;2.0612796152087434
119.0;2.6314007402612054
120.0;2.708755149187493
121.0;2.97155368568628
122.0;3.2093960535426187
123.0;2.6678975202389728
124.0;3.6753854569920357
125.0;2.79717892949809
126.0;3.1508200673183806
127.0;3.1541607968719982
128.0;2.642870432683676
129.0;4.310916120812999
130.0;1.7706871074762898
131.0;3.2795403402434653
132.0;2.683168910195327
133.0;3.442366677477021
