Value;Вязкость тяжёлого топлива на входе в дизель
0.0;18.705626008075946
1.0;15.285636668464495
2.0;8.092490677322509
3.0;10.734490414714625
4.0;15.757225611749407
5.0;14.732172887908646
6.0;12.08901352364955
7.0;11.079412779328162
8.0;13.147469305559436
9.0;7.259784280935747
10.0;14.416574890466938
11.0;13.481615708897943
12.0;14.257090472635458
13.0;15.085707542048663
14.0;10.077895892344024
15.0;11.148395705099725
16.0;11.338776070940874
17.0;11.053406194701957
18.0;11.0935015468056
19.0;14.023892666662444
20.0;13.099108074528186
21.0;15.590855971467972
22.0;13.162620724065132
23.0;11.197626152279446
24.0;11.447404050095368
25.0;10.801677222797395
26.0;14.27586867594178
27.0;11.613905265025542
28.0;10.424237666082679
29.0;10.266921941502076
30.0;11.636176296579274
31.0;9.966289272466586
32.0;10.145126597477919
33.0;12.88568768176098
34.0;14.842334902022428
35.0;14.612519410268687
36.0;11.63117186890274
37.0;14.636373206488376
38.0;12.899295281834892
39.0;13.19523373891288
40.0;10.262067747563874
41.0;13.997986878330526
42.0;16.26182970314322
43.0;13.852859713960228
44.0;15.880392773194961
45.0;10.338086724330557
46.0;12.37904919156988
47.0;11.033567636880953
48.0;14.852028007246538
49.0;12.586566035318153
50.0;6.700617025845471
51.0;12.79316090362191
52.0;9.9071895380789
53.0;10.464585159904507
54.0;15.322192068627274
55.0;18.532351643522478
56.0;14.333012610369519
57.0;9.296359154903376
58.0;18.038098620271974
59.0;12.135938228281319
60.0;9.288399504913363
61.0;12.646574340658374
62.0;14.088302544209117
63.0;12.385553501063589
64.0;14.94307750312438
65.0;14.510435780861382
66.0;14.832142576518756
67.0;16.92107228551744
68.0;6.704030062211952
69.0;12.89232632808533
70.0;10.904045329433838
71.0;18.405521597585526
72.0;13.44377168038563
73.0;14.390357070701027
74.0;10.902103920767935
75.0;13.848030799724201
76.0;14.56645471679786
77.0;11.968739414832752
78.0;8.260148648583963
79.0;14.849132129276155
80.0;10.48776129516594
81.0;14.257261936251005
82.0;10.83371537716371
83.0;13.48587863391197
84.0;11.18657687555817
85.0;14.035393986861203
86.0;15.276761348153418
87.0;12.230992062380187
88.0;14.635599341413851
89.0;12.003176937307504
90.0;14.090734112821808
91.0;11.416143274052327
92.0;13.054303148820146
93.0;16.036693053974254
94.0;11.460186926431497
95.0;14.335856946257143
96.0;10.769884762850733
97.0;11.55094017825883
98.0;11.578293493033103
99.0;7.322824933318534
100.0;12.211585708155223
101.0;14.767310360691809
102.0;12.508892700434252
103.0;11.186002193361022
104.0;11.3518909616541
105.0;14.713870799156048
106.0;12.508913219734282
107.0;14.16622334135546
108.0;7.086329565680742
109.0;13.457857774180127
110.0;12.208566551232297
111.0;13.573097093349334
112.0;13.476510334496028
113.0;12.459365077161257
114.0;13.083337529144444
115.0;11.271593860710077
116.0;14.454920808893966
117.0;11.486124449103652
118.0;10.637729205370784
119.0;12.28405193666979
120.0;12.465212080546449
121.0;10.8764761646243
122.0;11.266710545817366
123.0;14.816063669775595
124.0;12.812342302766174
125.0;11.525782421156125
126.0;10.431653120512102
127.0;15.446859355270481
128.0;13.597012627783496
129.0;15.89507529538935
130.0;12.545557433026598
131.0;18.362600883255407
132.0;11.301910754053676
133.0;18.63263335226182
134.0;16.83112561626713
135.0;10.362112057844858
136.0;13.529944559463484
137.0;12.153300023346985
138.0;10.776002071675837
139.0;11.26128089818297
