Value;Температура воды после охлаждения поршней
0.0;61.000498012497474
1.0;89.9304409012962
2.0;80.02757528175917
3.0;86.67613282033432
4.0;70.21337592790374
5.0;85.11223837697241
6.0;92.0758551435214
7.0;88.20798991539723
8.0;103.75491863557494
9.0;78.62312541518513
10.0;63.77653801871016
11.0;112.43995968713676
12.0;39.45275000783024
13.0;62.75649624451956
14.0;110.3400224335092
15.0;86.42757784671691
16.0;71.64365753899833
17.0;62.14642773787821
18.0;75.03039512664805
19.0;90.51116588384389
20.0;79.9187750838443
21.0;60.84157542365368
22.0;71.9005761888811
23.0;76.58690229274835
24.0;86.89138642734301
25.0;98.20570934565636
26.0;88.62302209527084
27.0;92.39923591000448
28.0;61.54243140291169
29.0;66.6490633760772
30.0;88.94920331752922
31.0;85.83203468304164
32.0;73.12352041644388
33.0;78.37401855456949
34.0;102.03999528954255
35.0;82.84386570272656
36.0;76.95575929641281
37.0;64.44394648178368
38.0;68.06718486801536
39.0;108.28435674365195
40.0;88.90328807058896
41.0;87.96704742460946
42.0;84.77645120229195
43.0;72.90092326507059
44.0;86.1086807203869
45.0;77.48705434502803
46.0;52.64408172358503
47.0;62.04260277902513
48.0;68.52844083125325
49.0;61.6110782894699
50.0;72.59669604495619
51.0;62.172441486336794
52.0;85.16816414127685
53.0;54.42518522446471
54.0;73.92329110438413
55.0;64.07883338316452
56.0;82.09646798133556
57.0;100.97986403968228
58.0;78.17143922450651
59.0;84.8694899116654
60.0;73.93265050311712
61.0;67.01809957573167
62.0;67.16665841169441
63.0;66.60877371122331
64.0;61.46888665672677
65.0;84.9978006428355
66.0;70.76007005217357
67.0;91.0599897842766
68.0;86.34413057408943
69.0;89.537081511445
70.0;69.40900226219576
71.0;76.90615502583711
72.0;70.38978044024591
73.0;79.78503810609833
74.0;47.859489433933845
75.0;89.68272223606257
76.0;69.38086535941102
77.0;75.74950454670383
78.0;94.24380849390569
79.0;72.39759450225945
80.0;87.09558498648249
81.0;107.51740693452224
82.0;110.00387567502963
83.0;43.06361770374828
84.0;65.87613737332266
85.0;64.5335819509624
86.0;68.89972279306713
87.0;88.57196985805959
88.0;39.01421848282523
89.0;38.298239779943735
90.0;65.2655328155855
91.0;65.61940484808773
92.0;75.4976681678477
93.0;78.6454325007242
94.0;68.76942767592945
95.0;82.48605076173553
96.0;69.63055217201742
97.0;71.81725708249135
98.0;41.16829332833601
99.0;64.18905314289883
100.0;73.42076974045199
101.0;53.906677585801546
102.0;72.0278399815288
103.0;65.93883320829413
104.0;78.88368276644545
105.0;73.74305757714234
106.0;66.74715866882188
107.0;87.4831812941234
108.0;88.67584965200733
109.0;63.61685089116362
110.0;84.58959546318806
111.0;68.65464377959916
112.0;97.89694383080138
113.0;82.61318231644256
114.0;71.35092201399036
115.0;83.70880659321793
116.0;78.05014775488846
117.0;60.276876549540944
118.0;70.43759000901827
119.0;110.86238462277362
120.0;43.10825334420237
121.0;60.90483827207575
122.0;76.35324747628982
123.0;65.72214759368711
124.0;109.92298677831437
125.0;106.150755781135
126.0;64.35423593877732
127.0;80.84124520880704
128.0;64.2806505976573
129.0;81.78872510884194
130.0;89.16792882043742
131.0;73.47737666402655
132.0;61.7496070154587
133.0;80.7046547269025
134.0;64.571162321888
135.0;89.9166418278026
136.0;75.52631138066658
137.0;60.92977379688443
138.0;71.82766619857586
139.0;110.44133133492755
140.0;62.21703340614748
141.0;75.55151090392528
142.0;51.49908171624696
143.0;60.20686321554854
144.0;86.17861932207683
145.0;88.08365883562351
146.0;52.73351965062507
147.0;46.8631217129268
148.0;80.07098684705889
149.0;74.6369858684514
150.0;42.696636293863634
151.0;79.28156619304374
152.0;70.67875007875092
153.0;63.92670005019627
154.0;106.50887224327856
155.0;63.437080220340405
156.0;65.72686233509747
157.0;104.94912624922108
158.0;54.10592293211192
159.0;89.68187183605593
160.0;82.67744046455081
161.0;88.43931244377563
162.0;63.772130209965894
163.0;106.83530174679856
164.0;73.44089734181706
165.0;63.7887006750587
166.0;88.61339367240046
167.0;72.43144913651055
168.0;60.23605928963954
169.0;46.34809850849959
170.0;88.32602916997519
171.0;97.0661240870058
172.0;52.89489918346244
173.0;85.71241133035991
174.0;109.10588486031145
175.0;71.96319800008003
176.0;60.66716548556536
177.0;89.61937871617803
178.0;68.01813313330172
179.0;77.63817766312
180.0;68.33006515137
181.0;73.86323875161193
182.0;78.0781951198847
183.0;74.41728408172213
184.0;49.428143021117265
185.0;72.8359620198363
186.0;56.305971615312046
187.0;62.037121809110296
188.0;77.21049997331988
189.0;67.06950161538467
190.0;61.11574728614497
191.0;69.02989280654162
192.0;77.75801998025591
193.0;76.72694380643769
194.0;68.17000958407799
195.0;72.14648509965815
196.0;88.03558924140883
197.0;71.06759714678518
198.0;60.92895746940257
199.0;77.29209374729969
200.0;87.60246454128128
201.0;87.43227283463744
202.0;71.09415501736409
203.0;64.54488465241394
204.0;77.2505677164818
205.0;72.0730864926473
206.0;41.37783694028889
207.0;80.22036508565347
